ID,鉄道事業者名,鉄道駅の名称,路線名,都道府県,市,段差への対応,プラットホームの数,段差が解消されているプラットホームの数,エレベーターの設置基数,移動等円滑化基準に適合しているエレベーターの設置基数,エスカレーターの設置基数,移動等円滑化基準に適合しているエスカレーターの設置基数,その他の昇降機の設置基数,傾斜路の設置箇所数,移動等円滑化基準に適合している傾斜路の設置箇所数,視覚障害者誘導用ブロックの設置の有無,案内設備の設置の有無,障害者対応型便所の設置の有無,障害者対応型改札口の設置の有無,障害者対応型券売機の設置の有無,車いす使用者の円滑な乗降が可能なプラットホームの数,転落防止のための設備の設置の有無
37,JR東日本,大久保,中央,東京都,新宿区,1,1,1,1,1,1,1,3,3,3,1,3,1,1,1,3,1
38,JR東日本,東中野,中央,東京都,中野区,1,1,1,1,1,3,2,3,3,3,1,3,1,1,1,3,1
39,JR東日本,中野,中央本・中央(各駅停車),東京都,中野区,1,3,3,3,3,6,3,3,1,3,1,1,1,1,1,3,1
40,JR東日本,高円寺,中央本・中央(各駅停車),東京都,杉並区,1,2,2,2,2,6,3,3,3,3,1,1,1,1,1,3,1
41,JR東日本,阿佐ケ谷,中央本・中央(各駅停車),東京都,杉並区,1,2,2,2,2,6,2,3,3,3,1,1,1,1,1,3,1
42,JR東日本,荻窪,中央本・中央(各駅停車),東京都,杉並区,1,2,2,6,5,4,2,3,3,3,1,3,1,1,1,3,1
43,JR東日本,西荻窪,中央本・中央(各駅停車),東京都,杉並区,1,2,2,2,2,6,3,3,3,3,1,1,1,1,1,3,1
44,JR東日本,秋葉原,山手・京浜東北・総武(各駅停車),東京都,千代田区,1,4,4,7,6,31,6,3,3,3,1,1,1,1,1,3,1
45,JR東日本,御徒町,山手・京浜東北,東京都,台東区,1,2,2,4,4,4,3,3,3,3,1,3,1,1,1,3,1
46,JR東日本,上野,山手・京浜東北・常磐・東北・高崎・東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,東京都,台東区,1,11,11,14,13,34,12,3,3,3,1,1,1,1,1,3,1
47,JR東日本,上野（新幹線）,東北新幹・上越新幹・北陸新幹・山形新幹・秋田新幹,東京都,台東区,1,2,2,5,5,26,1,3,3,3,1,1,1,1,1,3,1
48,JR東日本,鴬谷,山手・京浜東北,東京都,台東区,1,2,2,2,2,4,3,3,3,3,1,1,1,1,1,3,1
49,JR東日本,日暮里,山手・京浜東北・常磐,東京都,荒川区,1,3,3,3,3,13,3,3,3,3,1,3,1,1,1,3,1
50,JR東日本,田端,山手・京浜東北,東京都,北区,1,2,2,2,2,4,3,3,1,3,1,1,1,1,1,3,1
51,JR東日本,上中里,京浜東北,東京都,北区,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,3,1
52,JR東日本,王子,京浜東北,東京都,北区,1,1,1,1,1,2,2,3,3,3,1,3,1,1,1,3,1
53,JR東日本,東十条,京浜東北,東京都,北区,1,2,2,2,2,4,3,3,3,3,1,3,1,1,1,3,1
54,JR東日本,赤羽,京浜東北・東北・高崎・埼京,東京都,北区,1,4,4,5,5,23,3,3,3,3,1,1,1,1,1,3,1
55,JR東日本,西日暮里,山手・京浜東北,東京都,荒川区,1,2,2,2,2,4,2,3,3,3,1,1,1,1,1,3,1
56,JR東日本,尾久,東北・高崎,東京都,北区,1,1,1,2,2,2,2,3,3,3,1,1,1,1,1,3,1
57,JR東日本,北赤羽,埼京,東京都,北区,1,1,1,1,1,4,3,3,3,3,1,3,1,1,1,3,1
58,JR東日本,浮間舟渡,埼京,東京都,北区,1,1,1,1,1,2,3,3,3,3,1,1,1,1,1,3,1
59,JR東日本,三河島,常磐,東京都,荒川区,1,1,1,1,1,1,1,3,2,3,1,3,1,1,1,3,1
60,JR東日本,南千住,常磐,東京都,荒川区,1,1,1,1,1,2,1,3,1,3,1,1,1,1,1,3,1
61,JR東日本,北千住,常磐,東京都,足立区,1,2,2,5,3,10,1,3,1,3,1,1,1,1,1,3,1
62,JR東日本,綾瀬,常磐(各駅停車),東京都,足立区,1,1,1,1,1,2,3,3,3,3,1,3,3,1,1,3,1
63,JR東日本,亀有,常磐(各駅停車),東京都,葛飾区,1,1,1,1,1,4,4,3,3,3,1,3,1,1,1,3,1
64,JR東日本,金町,常磐(各駅停車),東京都,葛飾区,1,1,1,1,1,2,2,3,3,3,1,1,1,1,1,3,1
65,JR東日本,新日本橋,総武本,東京都,中央区,3,1,1,2,1,6,3,3,3,3,1,3,1,1,1,3,1
66,JR東日本,馬喰町,総武本,東京都,中央区,3,1,1,2,1,6,3,3,3,3,1,3,1,1,1,3,1
67,JR東日本,八丁堀,京葉,東京都,中央区,1,1,1,2,2,8,3,1,3,3,1,3,1,1,1,3,1
68,JR東日本,越中島,京葉,東京都,江東区,1,1,1,2,2,1,3,3,3,3,1,1,1,1,1,3,1
